C420462,7,E,3042
C420462,8,E,1450
C420462,9,E,1230
C420462,10,E,964
C420462,11,E,540
C420462,12,E,365
C463490,1,A1,3015
C463490,2,A1,1443
C463490,3,A1,1073
C463490,4,B1,865
C463490,5,B2,3007
C463490,6,B2,1957
C463490,7,B2,1398
C463490,8,E,3086
C463490,9,E,999
C463490,10,E,841
C463490,11,E,355
C50000,1,A1,2782
C50000,2,A1,1746
C50000,3,A1,1500
C50000,4,B1,1167
C50000,5,B2,2843
C50000,6,B2,1249
C557993,1,A',3043
C557993,2,A',2955
C557993,3,A',1870
C557993,4,A',1440
C557993,5,A',1378
C557993,6,A',1188
C557993,7,A',1000
C557993,8,A',826
C557993,9,A',598
C557993,10,A',420
C557993,11,A'',3004
C557993,12,A'',1437
C557993,13,A'',1054
C557993,14,A'',567
C557993,15,A'',123
C558134,1,A1,267
C558134,2,E,122
C558134,3,T2,672
C558134,4,T2,182
C56235,1,A1,459
C56235,2,E,217
C56235,3,T2,776
C56235,4,T2,314
C593533,1,A1,2930
C593533,2,A1,1464
C593533,3,A1,1049
C593533,4,E,3006
C593533,5,E,1467
C593533,6,E,1182
C624895,1,A',2991
C624895,2,A',2957
C624895,3,A',2920
C624895,4,A',2871
C624895,5,A',2830
C624895,6,A',1461
C624895,7,A',1435
C624895,8,A',1427
C624895,9,A',1377
C624895,10,A',1321
C624895,11,A',1262
C624895,12,A',1060
C624895,13,A',&nbsp;
C624895,14,A',968
C624895,15,A',727
C624895,16,A',654
C624895,17,A',353
C624895,18,A',227
C624895,19,A'',2991
C624895,20,A'',2957
C624895,21,A'',2920
C624895,22,A'',1449
C624895,23,A'',1435
C624895,24,A'',1239
C624895,25,A'',&nbsp;
C624895,26,A'',954
C624895,27,A'',757
C624895,28,A'',&nbsp;
C624895,29,A'',&nbsp;
C624895,30,A'',&nbsp;
C64175,1,A',3653
C64175,2,A',2984
C64175,3,A',2939
C64175,4,A',2900
C64175,5,A',1490
C64175,6,A',1464
C64175,7,A',1412
C64175,8,A',1371
C64175,9,A',1256
C64175,10,A',1091
C64175,11,A',1028
C64175,12,A',888
C64175,13,A',417
C64175,14,A'',2991
C64175,15,A'',2910
C64175,16,A'',1446
C64175,17,A'',1275
C64175,18,A'',1161
C64175,19,A'',812
C64175,20,A'',251
C64175,21,A'',200
C64186,1,A',3570
C64186,2,A',2943
